file,source,stored_bytes,original_bytes,original_sha256,published_sha256,anonymized
data_mirror/s3-selection-validation/anchors/gemma3-4b__student.json.sha256,results/s3-selection-validation/anchors/gemma3-4b__student.json.sha256,65,65,4690d2e825d5f2d63c721edd4ecac240b86f7226ccb7d2cdf977188926ebdd90,4690d2e825d5f2d63c721edd4ecac240b86f7226ccb7d2cdf977188926ebdd90,False
data_mirror/s3-selection-validation/anchors/pythia-1.4b--step120000__reference.json,results/s3-selection-validation/anchors/pythia-1.4b--step120000__reference.json,1030,1030,d13e12aaf24df6b1d65862653218ff1561bb8447b07541e0534034b816811352,d13e12aaf24df6b1d65862653218ff1561bb8447b07541e0534034b816811352,False
data_mirror/s3-selection-validation/anchors/pythia-1.4b--step120000__reference.json.sha256,results/s3-selection-validation/anchors/pythia-1.4b--step120000__reference.json.sha256,65,65,b197381416b6bb4da8ed130dc8220b7f3e164f2f4e8184eabe8486d1e02f81d1,b197381416b6bb4da8ed130dc8220b7f3e164f2f4e8184eabe8486d1e02f81d1,False
data_mirror/s3-selection-validation/anchors/pythia-1.4b--step120000__student.json,results/s3-selection-validation/anchors/pythia-1.4b--step120000__student.json,1026,1026,4c3c2170149b374a9e988ec7e9f3f2af5bc1011f891283668fdd75a488434a9c,4c3c2170149b374a9e988ec7e9f3f2af5bc1011f891283668fdd75a488434a9c,False
data_mirror/s3-selection-validation/anchors/pythia-1.4b--step120000__student.json.sha256,results/s3-selection-validation/anchors/pythia-1.4b--step120000__student.json.sha256,65,65,3f2d02b10f496e8172b9766cb1c48238df49c102918a85d6150bc59db1fe577c,3f2d02b10f496e8172b9766cb1c48238df49c102918a85d6150bc59db1fe577c,False
data_mirror/s3-selection-validation/anchors/pythia-410m--step120000__reference.json,results/s3-selection-validation/anchors/pythia-410m--step120000__reference.json,1028,1028,cb42a12e2f6fbee15a42da583b345a3edd4fe0c80b1d010fd54a40bca98f5975,cb42a12e2f6fbee15a42da583b345a3edd4fe0c80b1d010fd54a40bca98f5975,False
data_mirror/s3-selection-validation/anchors/pythia-410m--step120000__reference.json.sha256,results/s3-selection-validation/anchors/pythia-410m--step120000__reference.json.sha256,65,65,76b69954b5afc0dc76d4e54d7186610f6b4454d040aac6f2d855dedc20a24cbd,76b69954b5afc0dc76d4e54d7186610f6b4454d040aac6f2d855dedc20a24cbd,False
data_mirror/s3-selection-validation/anchors/pythia-410m--step120000__student.json,results/s3-selection-validation/anchors/pythia-410m--step120000__student.json,1027,1027,01dbada499500a7e2aae30abbb3a67ffbaf28a086a6d342f7c225f81d55e0842,01dbada499500a7e2aae30abbb3a67ffbaf28a086a6d342f7c225f81d55e0842,False
data_mirror/s3-selection-validation/anchors/pythia-410m--step120000__student.json.sha256,results/s3-selection-validation/anchors/pythia-410m--step120000__student.json.sha256,65,65,2fcaac615a4bb44f22f9727eb10dd849411c36cff1e3d11d30750a5cb1d491ac,2fcaac615a4bb44f22f9727eb10dd849411c36cff1e3d11d30750a5cb1d491ac,False
data_mirror/s3-selection-validation/identity.json,results/s3-selection-validation/identity.json,2231804,2231660,2b6a3b5d31a2a19c88a1a5cea7515345ec357d2163564d515979cb1f2ba5788a,ab31d10985e5da6f90f00270123f71312f192b400a3713ce4ac6378ffd46da99,True
data_mirror/s3-selection-validation/identity.json.sha256,results/s3-selection-validation/identity.json.sha256,65,65,380d392ae45d35d5af543ee64c38a40fe7300bb4c39246e5f3cc2e50b07df4cd,380d392ae45d35d5af543ee64c38a40fe7300bb4c39246e5f3cc2e50b07df4cd,False
data_mirror/s3-selection-validation/inputs/locked_models.json,results/s3-selection-validation/inputs/locked_models.json,57274,57274,2c8d28bd83cc74100048be07bc3d1ea7247e0774f8efe4569b9cbaeb08779fae,2c8d28bd83cc74100048be07bc3d1ea7247e0774f8efe4569b9cbaeb08779fae,False
data_mirror/s3-selection-validation/inputs/probes.json,results/s3-selection-validation/inputs/probes.json,636701,636701,f957c63ded36c9b991671e55a9b222f4cfbed62507bf1c7ba82c5f1062af94b8,f957c63ded36c9b991671e55a9b222f4cfbed62507bf1c7ba82c5f1062af94b8,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/dense__source.json,results/s3-selection-validation/measurements/gemma3-1b/dense__source.json,461,461,349212003b14c62098bc41d46c5f3d5c62bc50ce98719c8cb6517ff7197d9a1c,349212003b14c62098bc41d46c5f3d5c62bc50ce98719c8cb6517ff7197d9a1c,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/dense__source.json.sha256,results/s3-selection-validation/measurements/gemma3-1b/dense__source.json.sha256,65,65,2fbc3855729de792404fd8023ec76af92c8201c56a33390fcbfa8cca0b2b5b99,2fbc3855729de792404fd8023ec76af92c8201c56a33390fcbfa8cca0b2b5b99,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/prune__d0.6.json,results/s3-selection-validation/measurements/gemma3-1b/prune__d0.6.json,458,458,e8a65ec4460de9b5e70266d750ffeb420a01eaf76e0126a95fc9e600f9ec919f,e8a65ec4460de9b5e70266d750ffeb420a01eaf76e0126a95fc9e600f9ec919f,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/prune__d0.6.json.sha256,results/s3-selection-validation/measurements/gemma3-1b/prune__d0.6.json.sha256,65,65,2deaba8e079d19b7bd8f09777184e64ab58ab5720d5aff4a2d3c59c4b50a98c2,2deaba8e079d19b7bd8f09777184e64ab58ab5720d5aff4a2d3c59c4b50a98c2,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/prune__d0.7.json,results/s3-selection-validation/measurements/gemma3-1b/prune__d0.7.json,456,456,bcf748251b225b8d1d622da5848dc98dd171194c4496012ee85a8f7be8779227,bcf748251b225b8d1d622da5848dc98dd171194c4496012ee85a8f7be8779227,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/prune__d0.7.json.sha256,results/s3-selection-validation/measurements/gemma3-1b/prune__d0.7.json.sha256,65,65,75eb62191f4acee969ad55233eb1156b95dc5c26f9b49aaecc8886965761b59c,75eb62191f4acee969ad55233eb1156b95dc5c26f9b49aaecc8886965761b59c,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/prune__d0.8.json,results/s3-selection-validation/measurements/gemma3-1b/prune__d0.8.json,458,458,9b9394614db61d3fb3b2a3dc36ae58ee6c46781bd1da9db3ec6392a9ca4aeeb2,9b9394614db61d3fb3b2a3dc36ae58ee6c46781bd1da9db3ec6392a9ca4aeeb2,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/prune__d0.8.json.sha256,results/s3-selection-validation/measurements/gemma3-1b/prune__d0.8.json.sha256,65,65,c19ba6c328da93d76e1de81c598ec68752ea9acda6721a9a81e7d9050c8deeea,c19ba6c328da93d76e1de81c598ec68752ea9acda6721a9a81e7d9050c8deeea,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/prune__d0.9.json,results/s3-selection-validation/measurements/gemma3-1b/prune__d0.9.json,459,459,1e0c0487e5ab4111c1ee08b128e1fc760de44f3e081c421c7d4f36658d72c282,1e0c0487e5ab4111c1ee08b128e1fc760de44f3e081c421c7d4f36658d72c282,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/prune__d0.9.json.sha256,results/s3-selection-validation/measurements/gemma3-1b/prune__d0.9.json.sha256,65,65,758fcfa8ac3bcca560d0cb4b77f71c4b63d1ff7ab5f24fd7027b6866b1e8e392,758fcfa8ac3bcca560d0cb4b77f71c4b63d1ff7ab5f24fd7027b6866b1e8e392,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/quant__b3_g32.json,results/s3-selection-validation/measurements/gemma3-1b/quant__b3_g32.json,462,462,e36e9883e9bf6ae75d0c2e06bb8c53230e5ebdae1cacb716f7de6d31e33ea7b1,e36e9883e9bf6ae75d0c2e06bb8c53230e5ebdae1cacb716f7de6d31e33ea7b1,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/quant__b3_g32.json.sha256,results/s3-selection-validation/measurements/gemma3-1b/quant__b3_g32.json.sha256,65,65,b1466f8e8fae93c463a5ded6e48c19e1e18eb96f5a4cdafc4c72011a7c4b5a2a,b1466f8e8fae93c463a5ded6e48c19e1e18eb96f5a4cdafc4c72011a7c4b5a2a,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/quant__b4_g128.json,results/s3-selection-validation/measurements/gemma3-1b/quant__b4_g128.json,462,462,6416f1ff696330b318a70c9e46acd2fbfce310543f59150a49fb18280f539586,6416f1ff696330b318a70c9e46acd2fbfce310543f59150a49fb18280f539586,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/quant__b4_g128.json.sha256,results/s3-selection-validation/measurements/gemma3-1b/quant__b4_g128.json.sha256,65,65,abcd287e13e2ee1b0bee214ced65ca2d5419f8b92a2994eccbbdb245e944851a,abcd287e13e2ee1b0bee214ced65ca2d5419f8b92a2994eccbbdb245e944851a,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/quant__b4_g32.json,results/s3-selection-validation/measurements/gemma3-1b/quant__b4_g32.json,461,461,d0655c092da6e0f08b3420bf71e149a1fe27ef49fa2511f774ee87d1c53dcc94,d0655c092da6e0f08b3420bf71e149a1fe27ef49fa2511f774ee87d1c53dcc94,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/quant__b4_g32.json.sha256,results/s3-selection-validation/measurements/gemma3-1b/quant__b4_g32.json.sha256,65,65,c537eb6cdb087730ccaea782e737b58be4141dd5fec6c9861cd5ca1e12aa9750,c537eb6cdb087730ccaea782e737b58be4141dd5fec6c9861cd5ca1e12aa9750,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/quant__channel_b4.json,results/s3-selection-validation/measurements/gemma3-1b/quant__channel_b4.json,465,465,cc34465eb355fb72e946aa247424ba7e2793ebe7457f19f25bea4df46696aaf3,cc34465eb355fb72e946aa247424ba7e2793ebe7457f19f25bea4df46696aaf3,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/quant__channel_b4.json.sha256,results/s3-selection-validation/measurements/gemma3-1b/quant__channel_b4.json.sha256,65,65,110860bbc4f658760d0a79353e9f0796dc60697f2d9ca2902e4020ed6423a2f0,110860bbc4f658760d0a79353e9f0796dc60697f2d9ca2902e4020ed6423a2f0,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/quant__channel_b6.json,results/s3-selection-validation/measurements/gemma3-1b/quant__channel_b6.json,466,466,76d407e3cb7472de753a032b6af326c02d8520cf3a01129ad74e0141f268dabb,76d407e3cb7472de753a032b6af326c02d8520cf3a01129ad74e0141f268dabb,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/quant__channel_b6.json.sha256,results/s3-selection-validation/measurements/gemma3-1b/quant__channel_b6.json.sha256,65,65,9543ebcc868f6d5ab1982262c3a1f672d47b4c7f0f06a5d1f353964654ef7f0e,9543ebcc868f6d5ab1982262c3a1f672d47b4c7f0f06a5d1f353964654ef7f0e,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/quant__channel_b8.json,results/s3-selection-validation/measurements/gemma3-1b/quant__channel_b8.json,465,465,87dc9ccf448dab768c4baa4df6447e62e5873e28cc3fc373980994ca923bee66,87dc9ccf448dab768c4baa4df6447e62e5873e28cc3fc373980994ca923bee66,False
data_mirror/s3-selection-validation/measurements/gemma3-1b/quant__channel_b8.json.sha256,results/s3-selection-validation/measurements/gemma3-1b/quant__channel_b8.json.sha256,65,65,6548f1e7e7010e48aba1e7e7fbe2949da8668e417f2b4056508d335e20e17c1e,6548f1e7e7010e48aba1e7e7fbe2949da8668e417f2b4056508d335e20e17c1e,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/dense__source.json,results/s3-selection-validation/measurements/gemma3-4b/dense__source.json,460,460,bb926ba9283521d31e8051a770e8f611b463b174b33fef1ecbe8a26939c949ad,bb926ba9283521d31e8051a770e8f611b463b174b33fef1ecbe8a26939c949ad,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/dense__source.json.sha256,results/s3-selection-validation/measurements/gemma3-4b/dense__source.json.sha256,65,65,00220ab3068a9734bef0aa70149422955af3782ef2be2682e06abc14dee115bd,00220ab3068a9734bef0aa70149422955af3782ef2be2682e06abc14dee115bd,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/prune__d0.6.json,results/s3-selection-validation/measurements/gemma3-4b/prune__d0.6.json,459,459,0dbc5126143adf64434cc395bb49ba75c5fbb445f8175a8e02c91f7df0ed06d5,0dbc5126143adf64434cc395bb49ba75c5fbb445f8175a8e02c91f7df0ed06d5,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/prune__d0.6.json.sha256,results/s3-selection-validation/measurements/gemma3-4b/prune__d0.6.json.sha256,65,65,740acfda99f17050de6e93eff4c15432484cb8cf90eb84cae38cf41962c5a262,740acfda99f17050de6e93eff4c15432484cb8cf90eb84cae38cf41962c5a262,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/prune__d0.7.json,results/s3-selection-validation/measurements/gemma3-4b/prune__d0.7.json,460,460,532123137a109da8f505fff9097b35d0429e9d75b0a38c397ba9e8b889ad5363,532123137a109da8f505fff9097b35d0429e9d75b0a38c397ba9e8b889ad5363,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/prune__d0.7.json.sha256,results/s3-selection-validation/measurements/gemma3-4b/prune__d0.7.json.sha256,65,65,c8fd05e581b29f8986fb0141ef7a584ef0a84f926c2e646813e7bd3e025741aa,c8fd05e581b29f8986fb0141ef7a584ef0a84f926c2e646813e7bd3e025741aa,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/prune__d0.8.json,results/s3-selection-validation/measurements/gemma3-4b/prune__d0.8.json,460,460,82625128439d675acde7f556893b8bdc51a980021cb007fef4458445da8adcc6,82625128439d675acde7f556893b8bdc51a980021cb007fef4458445da8adcc6,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/prune__d0.8.json.sha256,results/s3-selection-validation/measurements/gemma3-4b/prune__d0.8.json.sha256,65,65,9ee886a5c37e85ff3f798c9551c5e88505dba458328603ef3e6455a5749a8aa0,9ee886a5c37e85ff3f798c9551c5e88505dba458328603ef3e6455a5749a8aa0,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/prune__d0.9.json,results/s3-selection-validation/measurements/gemma3-4b/prune__d0.9.json,460,460,e6194ced8a3d01ea6adc4bedbab01e8c3241c1b8d92c87a4b03e75a27c4af882,e6194ced8a3d01ea6adc4bedbab01e8c3241c1b8d92c87a4b03e75a27c4af882,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/prune__d0.9.json.sha256,results/s3-selection-validation/measurements/gemma3-4b/prune__d0.9.json.sha256,65,65,53fbaaac166e709da5a7f8a11db336411bb1498e6c48c13f54a1c5b341cdfab6,53fbaaac166e709da5a7f8a11db336411bb1498e6c48c13f54a1c5b341cdfab6,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/quant__b3_g32.json,results/s3-selection-validation/measurements/gemma3-4b/quant__b3_g32.json,462,462,482497e9f622c1cfbce8a2d9b7bfcfa6d98b32d12a2359f79c3dce97e9e25395,482497e9f622c1cfbce8a2d9b7bfcfa6d98b32d12a2359f79c3dce97e9e25395,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/quant__b3_g32.json.sha256,results/s3-selection-validation/measurements/gemma3-4b/quant__b3_g32.json.sha256,65,65,a9e2ae189e47c5ad8077bea209704a4942e2d54c08c0d583a48f31c9a6b629dc,a9e2ae189e47c5ad8077bea209704a4942e2d54c08c0d583a48f31c9a6b629dc,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/quant__b4_g128.json,results/s3-selection-validation/measurements/gemma3-4b/quant__b4_g128.json,462,462,b3749ee5a484df8ad65b7c4c594805df2934a592435ebcd0e656f57424b4ba69,b3749ee5a484df8ad65b7c4c594805df2934a592435ebcd0e656f57424b4ba69,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/quant__b4_g128.json.sha256,results/s3-selection-validation/measurements/gemma3-4b/quant__b4_g128.json.sha256,65,65,fd70fa03ddd61421c909851702c89f335c159031e4ec341c24fe464dca12e585,fd70fa03ddd61421c909851702c89f335c159031e4ec341c24fe464dca12e585,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/quant__b4_g32.json,results/s3-selection-validation/measurements/gemma3-4b/quant__b4_g32.json,459,459,e0d128f41de4b4c2eb4bd1a22990a81727b71667e16434735eb8c9d676b9ba4d,e0d128f41de4b4c2eb4bd1a22990a81727b71667e16434735eb8c9d676b9ba4d,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/quant__b4_g32.json.sha256,results/s3-selection-validation/measurements/gemma3-4b/quant__b4_g32.json.sha256,65,65,6c0e4c6be7645061b56f10ec894a440b3055f13768affe61e0b8edd93b9c9d4a,6c0e4c6be7645061b56f10ec894a440b3055f13768affe61e0b8edd93b9c9d4a,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/quant__channel_b4.json,results/s3-selection-validation/measurements/gemma3-4b/quant__channel_b4.json,466,466,6c30eef78a251acf2ec42b15f31b403ebc0a71a01912f1c61d3900bbaf174772,6c30eef78a251acf2ec42b15f31b403ebc0a71a01912f1c61d3900bbaf174772,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/quant__channel_b4.json.sha256,results/s3-selection-validation/measurements/gemma3-4b/quant__channel_b4.json.sha256,65,65,d7c7ef3b73f81e294c30104af5d49224aed95a3a8ceb779687a25d4e282a6281,d7c7ef3b73f81e294c30104af5d49224aed95a3a8ceb779687a25d4e282a6281,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/quant__channel_b6.json,results/s3-selection-validation/measurements/gemma3-4b/quant__channel_b6.json,466,466,c5780da6a89c150bab7be408c70ba3383227f5ca5eb021f879ec86938cb967e8,c5780da6a89c150bab7be408c70ba3383227f5ca5eb021f879ec86938cb967e8,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/quant__channel_b6.json.sha256,results/s3-selection-validation/measurements/gemma3-4b/quant__channel_b6.json.sha256,65,65,79925124ebc692ba2096d86d866e7ee5a1c5177e548f0ff2cc3481d696dd6a3b,79925124ebc692ba2096d86d866e7ee5a1c5177e548f0ff2cc3481d696dd6a3b,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/quant__channel_b8.json,results/s3-selection-validation/measurements/gemma3-4b/quant__channel_b8.json,466,466,297967951610b4fdcac77707a15db3f249fd0d3ab7add7488c821bd5407f1d9c,297967951610b4fdcac77707a15db3f249fd0d3ab7add7488c821bd5407f1d9c,False
data_mirror/s3-selection-validation/measurements/gemma3-4b/quant__channel_b8.json.sha256,results/s3-selection-validation/measurements/gemma3-4b/quant__channel_b8.json.sha256,65,65,5973868b2afffc8672bed43ec9067254628e5583eb8204583e9dfe483e679630,5973868b2afffc8672bed43ec9067254628e5583eb8204583e9dfe483e679630,False
data_mirror/s3-selection-validation/measurements/pythia-1.4b--step120000/dense__source.json,results/s3-selection-validation/measurements/pythia-1.4b--step120000/dense__source.json,477,477,e667d13f13a41d9874c4940925d8b8b4514c9fd77da5c27ad218cdccfd9afb05,e667d13f13a41d9874c4940925d8b8b4514c9fd77da5c27ad218cdccfd9afb05,False
data_mirror/s3-selection-validation/measurements/pythia-1.4b--step120000/dense__source.json.sha256,results/s3-selection-validation/measurements/pythia-1.4b--step120000/dense__source.json.sha256,65,65,3e5cf5d12511d7d69bfc2afc6cdbf40afcc6abba8031451f7d49958fa89d1272,3e5cf5d12511d7d69bfc2afc6cdbf40afcc6abba8031451f7d49958fa89d1272,False
data_mirror/s3-selection-validation/measurements/pythia-1.4b--step120000/prune__d0.6.json,results/s3-selection-validation/measurements/pythia-1.4b--step120000/prune__d0.6.json,473,473,b45def4a25a8107862db665fe2a8401a6a5614758cd8df69beeb9f39cbf6f28c,b45def4a25a8107862db665fe2a8401a6a5614758cd8df69beeb9f39cbf6f28c,False
data_mirror/s3-selection-validation/measurements/pythia-1.4b--step120000/prune__d0.6.json.sha256,results/s3-selection-validation/measurements/pythia-1.4b--step120000/prune__d0.6.json.sha256,65,65,b131be51a86b42ae4784225c5ec2f5fd8ea8006b9dafc5aab02b9b6b7ecdc211,b131be51a86b42ae4784225c5ec2f5fd8ea8006b9dafc5aab02b9b6b7ecdc211,False
data_mirror/s3-selection-validation/measurements/pythia-1.4b--step120000/prune__d0.7.json,results/s3-selection-validation/measurements/pythia-1.4b--step120000/prune__d0.7.json,474,474,ef8b09cb4848c546aeef0053bfed8f0182687e9ebd8af4d232960f5c918f3ec9,ef8b09cb4848c546aeef0053bfed8f0182687e9ebd8af4d232960f5c918f3ec9,False
data_mirror/s3-selection-validation/measurements/pythia-1.4b--step120000/prune__d0.7.json.sha256,results/s3-selection-validation/measurements/pythia-1.4b--step120000/prune__d0.7.json.sha256,65,65,658942ddbd4ba24c0ab5c75f9df3e6aaa93a92b4f218a733f47b1f4596c658e0,658942ddbd4ba24c0ab5c75f9df3e6aaa93a92b4f218a733f47b1f4596c658e0,False
data_mirror/s3-selection-validation/measurements/pythia-1.4b--step120000/prune__d0.8.json,results/s3-selection-validation/measurements/pythia-1.4b--step120000/prune__d0.8.json,474,474,e003826e8615737c7957360db53a485260af7d21bada18e98ef92c721949dc96,e003826e8615737c7957360db53a485260af7d21bada18e98ef92c721949dc96,False
data_mirror/s3-selection-validation/measurements/pythia-1.4b--step120000/prune__d0.8.json.sha256,results/s3-selection-validation/measurements/pythia-1.4b--step120000/prune__d0.8.json.sha256,65,65,94991ff514430b1d2f400d2a7ff1d8ff3069acbfab2d7bba88c1ce99e00129ff,94991ff514430b1d2f400d2a7ff1d8ff3069acbfab2d7bba88c1ce99e00129ff,False
data_mirror/s3-selection-validation/measurements/pythia-1.4b--step120000/prune__d0.9.json,results/s3-selection-validation/measurements/pythia-1.4b--step120000/prune__d0.9.json,472,472,97b995b92b61fee50b57c42d80261a175985a27e1fa2e8ef36f4a8fcf5a47b34,97b995b92b61fee50b57c42d80261a175985a27e1fa2e8ef36f4a8fcf5a47b34,False
data_mirror/s3-selection-validation/measurements/pythia-1.4b--step120000/prune__d0.9.json.sha256,results/s3-selection-validation/measurements/pythia-1.4b--step120000/prune__d0.9.json.sha256,65,65,116d994a196c11dc3f4703ed63be0ac813ced94cec14c904f99e77ee18d59e7a,116d994a196c11dc3f4703ed63be0ac813ced94cec14c904f99e77ee18d59e7a,False
data_mirror/s3-selection-validation/measurements/pythia-1.4b--step120000/quant__b3_g32.json,results/s3-selection-validation/measurements/pythia-1.4b--step120000/quant__b3_g32.json,475,475,6dbdc038c7629d8adbda807e08952f7c4318c4fe83d12ba65d24fc2ae505c21b,6dbdc038c7629d8adbda807e08952f7c4318c4fe83d12ba65d24fc2ae505c21b,False
data_mirror/s3-selection-validation/measurements/pythia-1.4b--step120000/quant__b3_g32.json.sha256,results/s3-selection-validation/measurements/pythia-1.4b--step120000/quant__b3_g32.json.sha256,65,65,00704a908db7b671a555b4d1ba64949f5141c200d31a37d0f7a90c8eea479036,00704a908db7b671a555b4d1ba64949f5141c200d31a37d0f7a90c8eea479036,False
data_mirror/s3-selection-validation/measurements/pythia-1.4b--step120000/quant__b4_g128.json,results/s3-selection-validation/measurements/pythia-1.4b--step120000/quant__b4_g128.json,477,477,94b8d543b01986f1ccc7ebbf2b2a58b228b628bdd16621dc48e051be00e88ebd,94b8d543b01986f1ccc7ebbf2b2a58b228b628bdd16621dc48e051be00e88ebd,False
data_mirror/s3-selection-validation/measurements/pythia-1.4b--step120000/quant__b4_g128.json.sha256,results/s3-selection-validation/measurements/pythia-1.4b--step120000/quant__b4_g128.json.sha256,65,65,0acd7571d6db351f32d90533d453d3e0974d4ba3713d509996206d951aa186f7,0acd7571d6db351f32d90533d453d3e0974d4ba3713d509996206d951aa186f7,False
data_mirror/s3-selection-validation/measurements/pythia-1.4b--step120000/quant__b4_g32.json,results/s3-selection-validation/measurements/pythia-1.4b--step120000/quant__b4_g32.json,476,476,8a80fbfc2b261ca7cc71dcbc831b233a414e0f353c3a6aa7b3dee223ee0caa12,8a80fbfc2b261ca7cc71dcbc831b233a414e0f353c3a6aa7b3dee223ee0caa12,False
data_mirror/s3-selection-validation/measurements/pythia-1.4b--step120000/quant__b4_g32.json.sha256,results/s3-selection-validation/measurements/pythia-1.4b--step120000/quant__b4_g32.json.sha256,65,65,811faebcd63ea34a328cdf1c2fea05fc9dbb961d15443812c8ffeb6b17938749,811faebcd63ea34a328cdf1c2fea05fc9dbb961d15443812c8ffeb6b17938749,False
data_mirror/s3-selection-validation/measurements/pythia-1.4b--step120000/quant__channel_b4.json,results/s3-selection-validation/measurements/pythia-1.4b--step120000/quant__channel_b4.json,480,480,87f5e257f3cc0aa214ca2cc8d1be2fcdceef509daee3e44acf84d224c37130aa,87f5e257f3cc0aa214ca2cc8d1be2fcdceef509daee3e44acf84d224c37130aa,False
